Sample Index,PPO Waveform,Other Waveform,SpO2,Heart Rate
486,7,255,99,54
487,7,0,99,54
488,7,0,99,54
489,7,0,99,54
490,7,0,99,54
491,6,0,99,54
492,6,0,99,54
493,5,0,99,54
494,5,0,99,54
495,4,44,99,54
496,4,43,99,54
497,3,41,99,54
498,3,39,99,54
499,2,37,99,54
500,2,35,99,54
501,2,34,99,54
502,1,32,99,54
503,1,31,99,54
504,1,29,99,54
505,1,28,99,54
506,1,27,99,54
507,0,26,99,54
508,0,25,99,54
509,0,25,99,54
510,1,24,99,54
511,1,23,99,54
512,3,22,99,54
513,4,255,99,54
514,6,0,99,54
515,8,0,99,54
516,10,0,99,54
517,12,0,99,54
518,12,0,99,54
519,12,0,99,54
520,12,0,99,54
521,11,0,99,54
522,11,73,99,54
523,10,68,99,54
524,10,67,99,54
525,9,66,99,54
526,8,63,99,54
527,8,60,99,54
528,7,58,99,54
529,7,55,99,54
530,6,53,99,54
531,6,52,99,54
532,6,51,99,54
533,6,51,99,54
534,6,51,99,54
535,6,51,99,54
536,5,51,99,54
537,5,50,99,54
538,4,50,99,54
539,4,48,99,54
540,4,255,99,57
541,3,0,99,57
542,3,0,99,57
543,2,0,99,57
544,2,0,99,57
545,2,0,99,57
546,1,0,99,57
547,1,0,99,57
548,1,0,99,57
549,0,27,99,57
550,0,27,99,57
551,0,26,99,57
552,0,25,99,57
553,0,24,99,57
554,0,24,99,57
555,0,22,99,57
556,0,22,99,57
557,0,22,99,57
558,0,25,99,57
559,0,31,99,57
560,0,40,99,57
561,0,50,99,57
562,2,61,99,57
563,5,69,99,57
564,7,73,99,57
565,9,203,99,57
566,11,75,99,57
567,12,255,99,57
568,12,0,99,57
569,12,0,99,57
570,12,0,99,57
571,11,0,99,57
572,10,0,99,57
573,10,0,99,57
574,9,0,99,57
575,9,0,99,57
576,8,53,99,57
577,8,53,99,57
578,7,53,99,57
579,7,52,99,57
580,7,51,99,57
581,7,50,99,57
582,7,49,99,57
583,7,47,99,57
584,7,45,99,57
585,6,43,99,57
586,6,41,99,57
587,6,39,99,57
588,5,37,99,57
589,5,35,99,57
590,4,34,99,57
591,4,32,99,57
592,3,30,99,57
593,3,29,99,57
594,3,255,99,57
595,2,0,99,57
596,2,0,99,57
597,2,0,99,57
598,1,0,99,57
599,1,0,99,57
600,1,0,99,57
601,1,0,99,57
